65530,65530,65530,65528,65528,65526,65524,65523,65521,65521,65518,65516,65516,65514,65514,65512,65511,65509,65508,65506
65528,65528,65528,65528,65526,65526,65524,65523,65521,65519,65517,65516,65514,65514,65514,65512,65510,65509,65507.5,65505
65526.6,65526,65526,65526,65526,65524,65524,65522,65521,65519,65516,65515,65514.3,65514,65512,65512,65510,65508,65506,65505
65525,65525,65524,65524,65524,65524,65522,65522,65520,65519,65516,65516,65514,65512,65512,65510,65509,65508,65505,65503
65523,65523,65522,65522,65522,65522,65520,65520,65520,65518,65516,65516,65513,65512,65510.2,65509,65508,65506,65505.8,65503
65520,65521.2,65520,65520,65520,65520,65520,65518,65518,65518,65516,65514,65514,65512,65510.8,65509,65508,65506,65504,65503
65518,65519.5,65520,65520,65520,65518,65518,65518,65518,65516,65516,65514,65512.8,65512,65510,65509,65508,65505,65503,65503
65518,65518,65518,65518,65518,65518,65518,65516,65516,65515,65514,65514,65512,65512,65510,65508.3,65508,65505,65502,65502
65518,65518,65518,65518,65518,65518,65516,65514,65514,65513,65513,65512,65512,65510,65510,65508,65507,65504,65502,65502
65516,65516,65516,65515,65516,65515,65516,65513,65513,65513,65511,65510,65510,65510,65508,65508,65506,65504,65502,65502
65514,65514,65514,65514,65514,65513,65513,65512,65512,65511,65511,65509.2,65508,65508,65508,65506,65506,65504,65502,65502
65509,65511,65511,65512,65512,65512,65511,65511,65510,65508,65508,65508,65508,65508,65506,65506,65504,65503,65501,65500
65507,65508,65509,65509,65510,65510,65510,65508.3,65508,65507.1,65507,65507,65507,65506,65506,65504,65503.8,65502,65501,65500
65507,65507,65507,65508,65507,65508,65508,65507,65507,65506.1,65506,65506,65505,65506,65504,65504,65502,65502,65500,65499
65507,65507,65506,65506,65506,65506,65506,65506,65506,65506,65506,65504.1,65504,65504,65504,65502,65502,65500,65500,65498
65506,65506,65506,65506,65505.6,65504,65504,65504,65504,65504,65504,65504,65503.4,65502,65502,65502,65500,65500,65498,65498
65532,65534,65533,65531,65528,65527.8,65526,65524,65522,65522,65520,65518,65516,65516,65514,65513,65510,65510,65508,65507
65534,65534,65532,65531,65528,65526,65526,65524,65523.3,65520,65520,65518,65516,65516,65514.7,65513.5,65512,65510,65509,65507
65532,65532,65532,65530,65528,65526,65526,65524.8,65523.3,65521,65520,65518,65516,65516,65514,65513,65510,65510,65509.3,65507
65530,65530,65530,65530,65528,65526,65524,65524,65522,65521,65518,65518,65516,65516,65514,65512,65510,65510,65509,65507
65528.4,65528,65528,65528,65528,65526,65524,65523,65520.6,65520,65518,65517,65516.3,65514,65514,65510,65510,65510,65508,65507
65526.2,65526,65526,65526,65526,65526,65524,65523,65520,65519,65518,65517,65516,65514,65512,65510,65510,65510,65508,65507
65526,65526,65526,65526,65526,65524,65524,65522,65520,65519,65517,65517,65515,65512,65512,65510,65510,65508,65507,65506
65524,65524,65524,65524,65524,65524,65522,65522,65520,65518,65517,65515.1,65513,65513,65511,65510,65510,65508,65506,65505.6
65524,65524,65523,65522,65522,65522,65522,65520,65520,65518,65517,65515,65514,65512,65511.1,65510,65508,65507,65506,65504
65521,65521,65521,65521,65520,65520,65520,65520,65518,65518,65516,65515,65512,65512,65510.1,65508,65508,65506,65505,65504
65521,65521,65521,65519,65518,65518,65518,65518,65517,65516,65516,65514,65512.7,65512,65510,65508,65508,65505,65504,65503
65519,65519,65519,65518,65516,65516,65516,65516,65516,65514,65514,65514,65512,65510,65510,65508,65507,65505,65504,65503.8
65517,65517.6,65517,65516,65516,65516,65516,65516,65516,65514,65514,65512,65512,65510,65509,65508,65506,65505,65504,65501
65516,65516,65516,65514,65514,65514,65514,65514.6,65514,65512,65511,65511,65510,65510,65508,65508,65506,65506,65503,65500
65514,65514,65514,65514,65514,65514,65514,65514,65512,65512,65510,65509,65509,65508,65508,65506,65506,65504,65503,65500
65512,65513,65513,65513,65512,65512,65511,65511,65509,65509,65509,65509,65507.5,65506,65506,65506,65504,65503,65502,65500.3
65511,65511,65511,65511,65511,65510,65510,65509,65509,65508,65508,65507,65507,65506,65506,65504,65503.9,65502,65502,65500
